billID,committeeID
hr100-114,HSJU
hr100-114,HSJU
hr1000-114,HSED
hr1000-114,HSED
hr1000-114,HSWM
hr1001-114,HSWM
hr1002-114,HSWM
hr1003-114,HSED
hr1003-114,HSED
hr1004-114,HSED
hr1004-114,HSED
hr1005-114,HSED
hr1005-114,HSED
hr1006-114,HSIF
hr1006-114,HSIF
hr1007-114,HSIF
hr1007-114,HSIF
hr1008-114,HSBA
hr1009-114,HSPW
hr1009-114,HSPW
hr101-114,HSJU
hr101-114,HSJU
hr1010-114,HSAS
hr1010-114,HSAS
hr1011-114,HSHA
hr1012-114,HSWM
hr1012-114,HSWM
hr1012-114,HSIF
hr1012-114,HSIF
hr1013-114,HSWM
hr1013-114,HSWM
hr1013-114,HSII
hr1013-114,HSII
hr1013-114,HSJU
hr1013-114,HSJU
hr1013-114,HSAG
hr1013-114,HSAG
hr1013-114,HSIF
hr1013-114,HSIF
hr1014-114,HSWM
hr1015-114,HSVR
hr1016-114,HSVR
hr1017-114,HSVR
hr1018-114,HSWM
hr1018-114,HSWM
hr1018-114,HSIF
hr1018-114,HSIF
hr1019-114,HSJU
hr1019-114,HSJU
hr102-114,HSJU
hr102-114,HSJU
hr102-114,HSGO
hr1020-114,HSSY
hr1021-114,HSWM
hr1021-114,HSIF
hr1022-114,HSHM
hr1022-114,HSHM
hr1024-114,HSGO
hr1025-114,HSAG
hr1025-114,HSAG
hr1026-114,SSFI
hr1027-114,HSIF
hr1027-114,HSIF
hr1027-114,HSWM
hr1028-114,HSII
hr1029-114,SSEV
hr103-114,HSJU
hr103-114,HSJU
hr1030-114,SSEV
hr1031-114,HSBA
hr1032-114,HSHA
hr1033-114,HSII
hr1033-114,HSII
hr1034-114,HSFA
hr1035-114,HSED
hr1035-114,HSED
hr1036-114,HSBA
hr1037-114,HSHA
hr1038-114,SSVA
hr1038-114,HSVR
hr1039-114,HSFA
hr104-114,HSJU
hr104-114,HSJU
hr1040-114,HSRU
hr1040-114,HSWM
hr1041-114,HSHM
hr1041-114,HSHM
hr1041-114,HSJU
hr1041-114,HSJU
hr1041-114,HSJU
hr1042-114,HSED
hr1042-114,HSED
hr1043-114,HSPW
hr1043-114,HSPW
hr1043-114,HSPW
hr1043-114,HSPW
hr1043-114,HSPW
hr1043-114,HSPW
hr1044-114,HSIF
hr1044-114,HSIF
hr1045-114,HSGO
hr1046-114,HSWM
hr1047-114,SSBK
hr1047-114,HSBA
hr1048-114,HSBU
hr1049-114,HSBU
hr105-114,HSJU
hr105-114,HSJU
hr1050-114,HSBU
hr1051-114,HSWM
hr1051-114,HSWM
hr1051-114,HSHM
hr1051-114,HSHM
hr1052-114,HSII
hr1052-114,HSII
hr1053-114,HSIF
hr1053-114,HSIF
hr1054-114,HSGO
hr1054-114,HSHA
hr1055-114,HSAS
hr1055-114,HSAS
hr1055-114,HSWM
hr1055-114,HSWM
hr1055-114,HSII
hr1055-114,HSII
hr1055-114,HSJU
hr1055-114,HSJU
hr1055-114,HSVR
hr1055-114,HSVR
hr1055-114,HSIF
hr1056-114,HSJU
hr1056-114,HSJU
hr1057-114,HSJU
hr1058-114,SSFI
hr1059-114,HSWM
hr106-114,HSED
hr106-114,HSED
hr1060-114,HSII
hr1060-114,HSII
hr1061-114,HSED
hr1061-114,HSED
hr1062-114,HSJU
hr1062-114,HSJU
hr1062-114,HSPW
