billID,title
hr10-114,Academic performance and assessments
hr10-114,Accounting and auditing
hr10-114,District of Columbia
hr10-114,Education
hr10-114,Education programs funding
hr10-114,Elementary and secondary education
hr10-114,Performance measurement
hr10-114,Student aid and college costs
hr100-114,Bankruptcy
hr100-114,Finance and financial sector
hr100-114,Higher education
hr100-114,Student aid and college costs
hr1000-114,"Alternative dispute resolution, mediation, arbitration"
hr1000-114,Employment and training programs
hr1000-114,Employment discrimination and employee rights
hr1000-114,Financial services and investments
hr1000-114,Government information and archives
hr1000-114,Government trust funds
hr1000-114,Inflation and prices
hr1000-114,Labor and employment
hr1000-114,Labor standards
hr1000-114,Labor-management relations
hr1000-114,Licensing and registrations
hr1000-114,Minority and disadvantaged businesses
hr1000-114,Sales and excise taxes
hr1000-114,Securities
hr1000-114,"Tax administration and collection, taxpayers"
hr1000-114,Unemployment
hr1000-114,Wages and earnings
hr1000-114,Youth employment and child labor
hr1001-114,Air quality
hr1001-114,Alternative and renewable resources
hr1001-114,Climate change and greenhouse gases
hr1001-114,Coal
hr1001-114,Corporate finance and management
hr1001-114,Electric power generation and transmission
hr1001-114,"Hybrid, electric, and advanced technology vehicles"
hr1001-114,Income tax credits
hr1001-114,Income tax rates
hr1001-114,Motor fuels
hr1001-114,Nuclear power
hr1001-114,Oil and gas
hr1001-114,Sales and excise taxes
hr1001-114,Taxation
hr1002-114,Housing finance and home ownership
hr1002-114,Income tax exclusion
hr1002-114,Taxation
hr1003-114,Employment discrimination and employee rights
hr1003-114,Labor and employment
hr1003-114,Labor-management relations
hr1003-114,Wages and earnings
hr1004-114,Academic performance and assessments
hr1004-114,Education
hr1004-114,Education programs funding
hr1004-114,Educational technology and distance education
hr1004-114,Elementary and secondary education
hr1004-114,"Teaching, teachers, curricula"
hr1005-114,Alternative and renewable resources
hr1005-114,Building construction
hr1005-114,Electric power generation and transmission
hr1005-114,Employment and training programs
hr1005-114,Energy efficiency and conservation
hr1005-114,Environmental technology
hr1005-114,Labor and employment
hr1005-114,Residential rehabilitation and home repair
hr1005-114,Vocational and technical education
hr1005-114,Wages and earnings
hr1006-114,Congressional oversight
hr1006-114,Dental care
hr1006-114,Education programs funding
hr1006-114,Government studies and investigations
hr1006-114,Health
hr1006-114,Health care costs and insurance
hr1006-114,Health care coverage and access
hr1006-114,Health care quality
hr1006-114,Health information and medical records
hr1006-114,Health personnel
hr1006-114,Health programs administration and funding
hr1006-114,Medicaid
hr1006-114,Medical education
hr1006-114,Medical tests and diagnostic methods
hr1006-114,Medicare
hr1006-114,Mental health
hr1006-114,Nursing
hr1006-114,State and local government operations
hr1006-114,Student aid and college costs
hr1006-114,"Teaching, teachers, curricula"
hr1007-114,Business investment and capital
hr1007-114,Commerce
hr1007-114,"Competitiveness, trade promotion, trade deficits"
hr1007-114,Congressional oversight
hr1007-114,Foreign and international corporations
hr1007-114,Manufacturing
hr1007-114,U.S. and foreign investments
hr1008-114,"Competitiveness, trade promotion, trade deficits"
hr1008-114,Executive agency funding and structure
hr1008-114,Export-Import Bank of the United States
hr1008-114,Foreign trade and international finance
hr1008-114,Government corporations and government-sponsored enterprises
hr1009-114,Disaster relief and insurance
hr1009-114,Emergency management
hr1009-114,Fires
hr1009-114,"Forests, forestry, trees"
hr101-114,Bankruptcy
hr101-114,Congressional oversight
hr101-114,Government studies and investigations
hr101-114,Housing and community development
hr101-114,Housing finance and home ownership
hr101-114,User charges and fees
hr1010-114,Armed forces and national security
hr1010-114,Military personnel and dependents
hr1010-114,Veterans' organizations and recognition
hr1011-114,Comprehensive health care
hr1011-114,Congress
hr1011-114,Congressional leadership
hr1011-114,Congressional officers and employees
hr1011-114,Congressional operations and organization
hr1011-114,"Government employee pay, benefits, personnel management"
hr1011-114,Health care costs and insurance
hr1011-114,Health care coverage and access
hr1011-114,Members of Congress
hr1012-114,Administrative law and regulatory procedures
hr1012-114,Health
hr1012-114,Health care costs and insurance
hr1012-114,Health care quality
hr1012-114,Medicare
hr1012-114,Medicare Payment Advisory Commission
hr1013-114,Administrative law and regulatory procedures
hr1013-114,Administrative remedies
hr1013-114,Congressional oversight
hr1013-114,Crime and law enforcement
hr1013-114,Department of Justice
hr1013-114,Drug Enforcement Administration (DEA)
hr1013-114,Drug trafficking and controlled substances
hr1013-114,"Drug, alcohol, tobacco use"
hr1013-114,Executive agency funding and structure
hr1013-114,Government studies and investigations
hr1013-114,Judicial review and appeals
hr1013-114,Licensing and registrations
hr1013-114,Retail and wholesale trades
