billID,active,enacted,vetoed,officialTitle,popularTitle
hr10-114,True,False,False,"To reauthorize the Scholarships for Opportunity and Results Act, and for other purposes.",
hr100-114,False,False,False,To amend title 11 of the United States Code to stop abusive student loan collection practices in bankruptcy cases.,
hr1000-114,False,False,False,To establish the National Full Employment Trust Fund to create employment opportunities for the unemployed.,
hr1001-114,False,False,False,To amend the Internal Revenue Code of 1986 to terminate certain energy tax subsidies and lower the corporate income tax rate.,
hr1002-114,False,False,False,To amend the Internal Revenue Code of 1986 to extend for 2 years the exclusion from gross income of discharges of qualified principal residence indebtedness.,
hr1003-114,False,False,False,To amend the National Labor Relations Act to permit employers to pay higher wages to their employees.,
hr1004-114,False,False,False,To reauthorize the Enhancing Education Through Technology Act of 2001.,
hr1005-114,False,False,False,To provide for the establishment of a pilot program to train individuals for employment in the renewable energy and energy efficiency industries.,
hr1006-114,False,False,False,To amend the Public Health Service Act to help build a stronger health care workforce.,
hr1007-114,False,False,False,"To authorize appropriations for the SelectUSA Initiative, and for other purposes.",
hr1008-114,False,False,False,To authorize the Export-Import Bank of the United States to use 3 percent of its profits for administrative expenses.,
hr1009-114,False,False,False,To authorize the Federal Emergency Management Agency to award mitigation financial assistance in certain areas affected by wildfires.,
hr101-114,False,False,False,"To amend title 11 of the United States Code with respect to modification of certain mortgages on principal residences, and for other purposes.",
hr1010-114,False,False,False,"To provide for the posthumous commission as a captain in the regular Army of Milton Holland, who, while sergeant major of the 5th Regiment, United States Colored Infantry, was awarded the Medal of Honor for gallantry during the Civil War.",
hr1011-114,False,False,False,To require the disclosure of determinations with respect to which Congressional staff will be required to obtain health insurance coverage through an Exchange.,
hr1012-114,False,False,False,"To amend title XVIII of the Social Security Act to improve the provision of items and services provided to Medicare beneficiaries residing in rural areas, and for other purposes.",
hr1013-114,False,False,False,"To decriminalize marijuana at the Federal level, to leave to the States a power to regulate marijuana that is similar to the power they have to regulate alcohol, and for other purposes.",
hr1014-114,False,False,False,"To amend the Internal Revenue Code of 1986 to provide for the taxation of marijuana, and for other purposes.",
hr1015-114,True,False,False,"To amend title 38, United States Code, to improve the oversight of contracts awarded by the Secretary of Veterans Affairs to small business concerns owned and controlled by veterans.",
hr1016-114,True,False,False,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to adopt and implement a standard identification protocol for use in the tracking and procurement of biological implants by the Department of Veterans Affairs, and for other purposes.",
hr1017-114,True,False,False,"To improve the information security of the Department of Veterans Affairs by directing the Secretary of Veterans Affairs to carry out certain actions to improve the transparency and the governance of the information security program of the Department, and for other purposes.",
hr1018-114,False,False,False,"To amend title XVIII of the Social Security Act to provide coverage of certain disposable medical technologies under the Medicare program, and for other purposes.",
hr1019-114,False,False,False,"To provide high-skilled visas for nationals of the Republic of Korea, and for other purposes.",
hr102-114,False,False,False,"To establish a corporate crime database, and for other purposes.",
hr1020-114,True,True,False,"To define STEM education to include computer science, and to support existing STEM education programs at the National Science Foundation.",
hr1021-114,True,False,False,"To amend title XVIII of the Social Security Act to improve the integrity of the Medicare program, and for other purposes.",
hr1022-114,False,False,False,To amend the Homeland Security Act of 2002 to authorize the use of Urban Area Security Initiative and State Homeland Security Grant Program funding to counter violent extremism.,
hr1023-114,True,False,False,To amend the Small Business Investment Act of 1958 to provide for increased limitations on leverage for multiple licenses under common control.,
hr1024-114,False,False,False,"To provide for the compensation of furloughed Department of Homeland Security employees in the event of a lapse in Department of Homeland Security appropriations, and for other purposes.",
hr1025-114,False,False,False,To amend the Food and Nutrition Act of 2008 to modify the exception to the work requirement.,
hr1026-114,True,False,False,To amend the Internal Revenue Code of 1986 to permit the release of information regarding the status of certain investigations.,
