thomasID,govtrackID,bioguideID,opensecretsID,lisID,votesmartID,fecIDs,icpsrID,wikipediaID,cspanID,washpostID,firstName,lastName,birthday,gender,religion,party,democratCount,republicanCount,otherCount,state,district,type,currentParty
00136,400050,B000944,N00003535,S307,27018,"['H2OH13033', 'S6OH00163']",29389,Sherrod Brown,5051,,Sherrod,Brown,1952-11-09,M,Lutheran,democrat,9,0,0,OH,,Senate,Democrat
00172,300018,C000127,N00007836,S275,27122,"['S8WA00194', 'H2WA01054']",39310,Maria Cantwell,26137,,Maria,Cantwell,1958-10-13,F,Roman Catholic,democrat,4,0,0,WA,,Senate,Democrat
00174,400064,C000141,N00001955,S308,26888,"['H6MD03177', 'S6MD03177']",15408,Ben Cardin,4004,,Benjamin,Cardin,1943-10-05,M,Jewish,democrat,12,0,0,MD,,Senate,Democrat
00179,300019,C000174,N00012508,S277,22421,['S8DE00079'],15015,Tom Carper,663,,Thomas,Carper,1947-01-23,M,Presbyterian,democrat,8,0,0,DE,,Senate,Democrat
01828,412246,C001070,N00027503,S309,2541,['S6PA00217'],40703,Bob Casey Jr.,47036,,Robert,Casey,1960-04-13,M,,democrat,2,0,0,PA,,Senate,Democrat
01825,412248,C001071,N00027441,S310,65905,"['S6TN00216', 'S4TN00187']",40705,Bob Corker,1021114,,Bob,Corker,1952-08-24,M,,republican,0,2,0,TN,,Senate,Republican
01332,300043,F000062,N00007364,S221,53273,['S0CA00199'],49300,Dianne Feinstein,13061,,Dianne,Feinstein,1933-06-22,F,Jewish,democrat,5,0,0,CA,,Senate,Democrat
01351,300052,H000338,N00009869,S118,53352,"['S6UT00063', 'P00003806']",14503,Orrin Hatch,189,,Orrin,Hatch,1934-03-22,M,Latter Day Saints,republican,0,7,0,UT,,Senate,Republican
01826,412242,K000367,N00027500,S311,65092,['S6MN00267'],40700,Amy Klobuchar,83701,,Amy,Klobuchar,1960-05-25,F,,democrat,2,0,0,MN,,Senate,Democrat
01820,412243,M001170,N00027694,S312,2109,"['S6MO00305', 'P80005721']",40701,Claire McCaskill,1012014,,Claire,McCaskill,1953-07-24,F,,democrat,2,0,0,MO,,Senate,Democrat
00791,400272,M000639,N00000699,S306,26961,"['H2NJ13075', 'S6NJ00289']",29373,Bob Menendez,29608,,Robert,Menéndez,1954-01-01,M,Roman Catholic,democrat,10,0,0,NJ,,Senate,Democrat
00859,300078,N000032,N00009926,S282,1606,['S8FL00166'],14651,Bill Nelson,1931,,Bill,Nelson,1942-09-29,M,Presbyterian,democrat,9,0,0,FL,,Senate,Democrat
01010,400357,S000033,N00000528,S313,27110,"['H8VT01016', 'S4VT00033']",29147,Bernie Sanders,994,,Bernard,Sanders,1941-09-08,M,Jewish,other,0,0,10,VT,,Senate,Independent
01531,300093,S000770,N00004118,S284,515,"['S8MI00281', 'H6MI08163']",29732,Debbie Stabenow,45451,,Debbie,Stabenow,1950-04-29,F,United Methodist,democrat,5,0,0,MI,,Senate,Democrat
01829,412244,T000464,N00027605,S314,20928,['S6MT00162'],40702,Jon Tester,1020176,,Jon,Tester,1956-08-21,M,,democrat,2,0,0,MT,,Senate,Democrat
01823,412247,W000802,N00027533,S316,2572,['S6RI00221'],40704,Sheldon Whitehouse,92235,,Sheldon,Whitehouse,1955-10-20,M,,democrat,2,0,0,RI,,Senate,Democrat
01881,412251,B001261,N00006236,S317,52662,['S6WY00068'],40707,John Barrasso,1024777,,John,Barrasso,1952-07-21,M,,republican,0,2,0,WY,,Senate,Republican
01226,400432,W000437,N00003280,S318,21926,"['H4MS01078', 'S8MS00196']",29534,Roger Wicker,18203,,Roger,Wicker,1951-07-05,M,Southern Baptist,republican,0,9,0,MS,,Senate,Republican
