thomasID,govtrackID,bioguideID,opensecretsID,lisID,votesmartID,fecIDs,icpsrID,wikipediaID,cspanID,washpostID,firstName,lastName,birthday,gender,religion,party,democratCount,republicanCount,otherCount,state,district,type,currentParty
,401222,B000226,,,,[],507,Richard Bassett (politician),,,Richard,Bassett,1745-04-02,M,,other,0,0,1,DE,,Senate,Anti-Administration
,401521,B000546,,,,[],786,Theodorick Bland (congressman),,,Theodorick,Bland,1742-03-21,M,,other,0,0,1,VA,9,House,
,402032,B001086,,,,[],1260,Aedanus Burke,,,Aedanus,Burke,1743-06-16,M,,other,0,0,1,SC,2,House,
,402334,C000187,,,,[],1538,Daniel Carroll,,,Daniel,Carroll,1730-07-22,M,,other,0,0,1,MD,6,House,
,402671,C000538,,,,[],1859,George Clymer,,,George,Clymer,1739-03-16,M,,other,0,0,1,PA,-1,House,
,402834,C000710,,,,[],2010,Benjamin Contee,,,Benjamin,Contee,,M,,other,0,0,1,MD,3,House,
,403156,D000013,,,,[],2307,Tristram Dalton,,,Tristram,Dalton,1738-05-28,M,,other,0,0,1,MA,,Senate,Pro-Administration
,403846,E000155,,,,[],2943,Jonathan Elmer,,,Jonathan,Elmer,1745-11-29,M,,other,0,0,1,NJ,,Senate,Pro-Administration
,404057,F000100,,,,[],3128,William Few,,,William,Few,1748-06-08,M,,other,0,0,1,GA,,Senate,Anti-Administration
,404179,F000224,,,,[],3237,William Floyd,,,William,Floyd,1734-12-17,M,,other,0,0,1,NY,1,House,
,404389,G000012,,,,[],3430,George Gale (congressman),,,George,Gale,1756-06-03,M,,other,0,0,1,MD,5,House,
,404753,G000403,,,,[],3771,William Grayson,,,William,Grayson,,M,,other,0,0,1,VA,,Senate,Anti-Administration
,404845,G000500,,,,[],3857,Jonathan Grout,,,Jonathan,Grout,1737-07-23,M,,other,0,0,1,MA,8,House,
,405237,H000368,,,,[],4212,Benjamin Hawkins,,,Benjamin,Hawkins,1754-08-15,M,,other,0,0,1,NC,,Senate,Pro-Administration
,405835,H000995,,,,[],4766,Benjamin Huntington,,,Benjamin,Huntington,1736-04-19,M,,other,0,0,1,CT,-1,House,
,412129,I000053,,,,[],4837,Ralph Izard,,,Ralph,Izard,,M,,other,0,0,1,SC,,Senate,Pro-Administration
,406077,J000182,,,,[],4998,William Samuel Johnson,,,William,Johnson,1727-10-07,M,,other,0,0,1,CT,,Senate,Pro-Administration
,406093,J000198,,,,[],5012,Samuel Johnston,,,Samuel,Johnston,1733-12-15,M,,other,0,0,1,NC,,Senate,Pro-Administration
,406704,L000201,,,,[],5565,Richard Henry Lee,,,Richard,Lee,1732-01-20,M,,other,0,0,1,VA,,Senate,Anti-Administration
,407058,M000031,,,,[],5891,William Maclay (Pennsylvania senator),,,William,Maclay,1737-07-20,M,,other,0,0,1,PA,,Senate,Anti-Administration
,407252,M000234,,,,[],6071,George Mathews (Georgia),,,George,Mathews,1739-08-30,M,,other,0,0,1,GA,3,House,
,407953,M000985,,,,[],6712,Robert Morris (financier),,,Robert,Morris,1734-01-20,M,,other,0,0,1,PA,,Senate,Pro-Administration
,408502,P000092,,,,[],7224,George Partridge,,,George,Partridge,1740-02-08,M,,other,0,0,1,MA,5,House,
,408510,P000102,,,,[],7231,William Paterson (judge),,,William,Paterson,1745-12-24,M,,other,0,0,1,NJ,,Senate,Pro-Administration
,410099,S000624,,,,[],8693,William Smith (Maryland),,,William,Smith,1728-04-12,M,,other,0,0,1,MD,4,House,
,410420,S000961,,,,[],8983,Michael J. Stone,,,Michael,Stone,,M,,other,0,0,1,MD,1,House,
,411095,V000053,,,,[],9629,Jeremiah Van Rensselaer,,,Jeremiah,Van Rensselaer,1738-08-27,M,,other,0,0,1,NY,6,House,
,411931,W000783,,,,[],10405,Henry Wynkoop,,,Henry,Wynkoop,1737-03-02,M,,other,0,0,1,PA,-1,House,
,403444,D000324,,,,[],2576,Philemon Dickinson,,,Philemon,Dickinson,1739-04-05,M,,other,0,0,1,NJ,,Senate,Pro-Administration
,411238,W000059,,,,[],9747,John Walker (Virginia politician),,,John,Walker,1744-02-13,M,,other,0,0,1,VA,,Senate,Pro-Administration
,400951,A000307,,,,[],259,John Baptista Ashe (Continental Congress),,,John,Ashe,,M,,other,0,0,2,NC,3,House,
,401169,B000167,,,,[],456,Robert Barnwell,,,Robert,Barnwell,1761-12-21,M,,other,0,0,1,SC,2,House,
,402077,B001133,,,,[],1302,Aaron Burr,,,Aaron,Burr,1756-02-06,M,,republican,0,1,0,NY,,Senate,Republican
,402171,C000009,,,,[],1384,George Cabot,,,George,Cabot,1752-12-03,M,,other,0,0,1,MA,,Senate,Federalist
,402332,C000185,,,,[],1536,Charles Carroll of Carrollton,,,Charles,Carroll,1737-09-19,M,,other,0,0,2,MD,,Senate,
,403838,E000147,,,,[],2936,Oliver Ellsworth,,,Oliver,Ellsworth,1745-04-29,M,,other,0,0,2,CT,,Senate,Federalist
,404507,G000139,,,,[],3541,Elbridge Gerry,,,Elbridge,Gerry,1744-07-17,M,,other,0,0,2,MA,3,House,
,405761,H000916,,,,[],4695,Daniel Huger,,,Daniel,Huger,1742-02-20,M,,other,0,0,2,SC,3,House,
,405941,J000036,,,,[],4871,Israel Jacobs,,,Israel,Jacobs,1726-06-09,M,,other,0,0,1,PA,3,House,
,406322,K000158,,,,[],5224,Philip Key (U.S. politician),,,Philip,Key,,M,,other,0,0,1,MD,1,House,
,409071,R000091,,,,[],7762,George Read (U.S. statesman),,,George,Read,1733-09-18,M,,other,0,0,2,DE,,Senate,
,409321,R000350,,,,[],7989,Moses Robinson,,,Moses,Robinson,1741-03-22,M,,other,0,0,1,VT,,Senate,Anti-Administration
,409648,S000140,,,,[],8272,Cornelius C. Schoonmaker,,,Cornelius,Schoonmaker,,M,,other,0,0,1,NY,4,House,
,409746,S000242,,,,[],8363,Joshua Seney,,,Joshua,Seney,1756-03-04,M,,other,0,0,2,MD,2,House,
,409837,S000340,,,,[],8449,Upton Sheredine,,,Upton,Sheredine,,M,,other,0,0,1,MD,6,House,
,409845,S000349,,,,[],8457,Roger Sherman,,,Roger,Sherman,1721-04-19,M,,other,0,0,2,CT,,Senate,Pro-Administration
,409906,S000412,,,,[],8511,Peter Silvester (1734–1808),,,Peter,Silvester,,M,,other,0,0,2,NY,5,House,
,410296,S000832,,,,[],8869,John Steele (North Carolina politician),,,John,Steele,1764-11-16,M,,other,0,0,2,NC,1,House,
,410328,S000866,,,,[],8896,Samuel Sterett,,,Samuel,Sterett,,M,,other,0,0,1,MD,4,House,
,410501,S001047,,,,[],9062,Jonathan Sturges,,,Jonathan,Sturges,1740-08-23,M,,other,0,0,2,CT,-1,House,
,410972,T000403,,,,[],9501,Thomas Tudor Tucker,,,Thomas,Tucker,1745-06-25,M,,other,0,0,2,SC,5,House,
,411384,W000216,,,,[],9885,Anthony Wayne,,,Anthony,Wayne,1745-01-01,M,,other,0,0,1,GA,1,House,
,411514,W000352,,,,[],10006,Alexander White (Virginia),,,Alexander,White,,M,,other,0,0,2,VA,1,House,
,411707,W000551,,,,[],10193,Hugh Williamson,,,Hugh,Williamson,1735-12-05,M,,other,0,0,2,NC,4,House,Federalist
,411716,W000560,,,,[],10202,Francis Willis (Representative),,,Francis,Willis,1745-01-05,M,,other,0,0,1,GA,3,House,
,403764,E000075,,,,[],2866,John Edwards (Kentucky politician),,,John,Edwards,,M,,other,0,0,1,KY,,Senate,Anti-Administration
,408858,P000473,,,,[],7564,Richard Potts,,,Richard,Potts,1753-07-19,M,,other,0,0,1,MD,,Senate,Federalist
,400920,A000280,,,,[],231,James Armstrong (Pennsylvania),,,James,Armstrong,1748-08-29,M,,other,0,0,1,PA,-1,House,
,401276,B000282,,,,[],554,John Beatty (Continental Congress),,,John,Beatty,1749-12-10,M,,other,0,0,1,NJ,-1,House,
,401623,B000661,,,,[],878,Elias Boudinot,,,Elias,Boudinot,1740-05-02,M,,other,0,0,3,NJ,-1,House,
,401633,B000671,,,,[],886,Shearjashub Bourne,,,Shearjashub,Bourne,1746-06-14,M,,other,0,0,2,MA,3,House,
,401699,B000739,,,,[],951,William Bradford (Rhode Island),,,William,Bradford,1729-11-04,M,,other,0,0,1,RI,,Senate,Federalist
,402174,C000012,,,,[],1387,Lambert Cadwalader (representative),,,Lambert,Cadwalader,,M,,other,0,0,2,NJ,-1,House,
,402311,C000163,,,,[],1518,Thomas P. Carnes,,,Thomas,Carnes,,M,,other,0,0,1,GA,-1,House,
