billID,bioguideID,cosponsor
hr10-114,B001250,1
hr10-114,B001294,1
hr10-114,C001076,1
hr10-114,C001053,1
hr10-114,C001105,1
hr10-114,D000621,1
hr10-114,F000450,1
hr10-114,F000372,1
hr10-114,K000363,1
hr10-114,L000563,1
hr10-114,M001187,1
hr10-114,M001189,1
hr10-114,M001182,1
hr10-114,R000592,1
hr10-114,B000589,0
hr100-114,C001068,1
hr100-114,J000288,1
hr100-114,C000714,0
hr1000-114,B001270,1
hr1000-114,B001281,1
hr1000-114,B000911,1
hr1000-114,C001037,1
hr1000-114,C001072,1
hr1000-114,C001080,1
hr1000-114,C001067,1
hr1000-114,C001068,1
hr1000-114,C000984,1
hr1000-114,D000096,1
hr1000-114,E000290,1
hr1000-114,E000288,1
hr1000-114,F000030,1
hr1000-114,G000553,1
hr1000-114,G000551,1
hr1000-114,G000535,1
hr1000-114,H000324,1
hr1000-114,J000032,1
hr1000-114,J000294,1
hr1000-114,J000126,1
hr1000-114,J000288,1
hr1000-114,K000009,1
hr1000-114,L000581,1
hr1000-114,L000551,1
hr1000-114,L000287,1
hr1000-114,M000312,1
hr1000-114,M001137,1
hr1000-114,M001160,1
hr1000-114,N000002,1
hr1000-114,N000127,1
hr1000-114,N000147,1
hr1000-114,P000607,1
hr1000-114,R000053,1
hr1000-114,S001145,1
hr1000-114,S000248,1
hr1000-114,S001165,1
hr1000-114,S000480,1
hr1000-114,T000472,1
hr1000-114,V000131,1
hr1000-114,W000800,1
hr1000-114,W000808,1
hr1000-114,Y000062,1
hr1000-114,C000714,0
hr1001-114,A000367,1
hr1001-114,D000621,1
hr1001-114,J000255,1
hr1001-114,R000587,1
hr1001-114,P000602,0
hr1002-114,A000372,1
hr1002-114,B001269,1
hr1002-114,B001281,1
hr1002-114,B001271,1
hr1002-114,B001257,1
hr1002-114,B000574,1
hr1002-114,B001295,1
hr1002-114,B001255,1
hr1002-114,B001274,1
hr1002-114,B001284,1
hr1002-114,B001260,1
hr1002-114,B001286,1
hr1002-114,B001289,1
hr1002-114,C001090,1
hr1002-114,C001101,1
hr1002-114,C001106,1
hr1002-114,C001069,1
hr1002-114,C001045,1
hr1002-114,C001107,1
hr1002-114,D000096,1
hr1002-114,D000191,1
hr1002-114,D000604,1
hr1002-114,D000600,1
hr1002-114,D000624,1
hr1002-114,D000613,1
hr1002-114,D000622,1
hr1002-114,D000614,1
hr1002-114,E000288,1
hr1002-114,E000294,1
hr1002-114,F000030,1
hr1002-114,F000451,1
hr1002-114,F000454,1
hr1002-114,F000372,1
hr1002-114,G000564,1
hr1002-114,G000575,1
hr1002-114,G000576,1
hr1002-114,G000535,1
hr1002-114,H001051,1
hr1002-114,H000324,1
hr1002-114,H001055,1
hr1002-114,H001038,1
hr1002-114,H001047,1
hr1002-114,H001067,1
hr1002-114,H001058,1
hr1002-114,J000294,1
hr1002-114,J000292,1
hr1002-114,J000288,1
hr1002-114,J000296,1
hr1002-114,J000295,1
hr1002-114,K000009,1
hr1002-114,K000375,1
hr1002-114,K000376,1
hr1002-114,K000385,1
hr1002-114,K000381,1
hr1002-114,K000188,1
hr1002-114,K000210,1
hr1002-114,K000363,1
hr1002-114,K000382,1
hr1002-114,L000559,1
hr1002-114,L000557,1
hr1002-114,L000581,1
hr1002-114,L000582,1
hr1002-114,L000563,1
hr1002-114,L000579,1
hr1002-114,L000480,1
hr1002-114,L000580,1
hr1002-114,M001185,1
hr1002-114,M001163,1
hr1002-114,M001143,1
hr1002-114,M000404,1
hr1002-114,M000312,1
hr1002-114,M001189,1
hr1002-114,M001144,1
hr1002-114,M001194,1
hr1002-114,M001160,1
hr1002-114,M001191,1
hr1002-114,N000179,1
hr1002-114,N000015,1
hr1002-114,N000127,1
hr1002-114,N000185,1
hr1002-114,P000096,1
hr1002-114,P000594,1
hr1002-114,P000605,1
hr1002-114,P000258,1
hr1002-114,P000597,1
hr1002-114,P000607,1
hr1002-114,P000599,1
hr1002-114,Q000023,1
hr1002-114,R000053,1
hr1002-114,R000586,1
hr1002-114,R000587,1
hr1002-114,R000591,1
hr1002-114,R000575,1
hr1002-114,R000592,1
hr1002-114,R000435,1
hr1002-114,R000580,1
hr1002-114,R000593,1
hr1002-114,R000515,1
hr1002-114,R000577,1
hr1002-114,S001156,1
hr1002-114,S001145,1
hr1002-114,S001150,1
hr1002-114,S001179,1
hr1002-114,S001189,1
hr1002-114,S000244,1
hr1002-114,S001154,1
hr1002-114,S001191,1
hr1002-114,S000522,1
hr1002-114,S001195,1
hr1002-114,S001196,1
hr1002-114,S001187,1
hr1002-114,S001193,1
hr1002-114,T000472,1
hr1002-114,T000460,1
hr1002-114,T000462,1
hr1002-114,T000469,1
hr1002-114,T000475,1
hr1002-114,T000465,1
hr1002-114,T000463,1
hr1002-114,U000031,1
hr1002-114,V000129,1
hr1002-114,V000128,1
hr1002-114,V000108,1
hr1002-114,W000799,1
hr1002-114,W000806,1
hr1002-114,W000800,1
hr1002-114,W000808,1
hr1002-114,W000804,1
hr1002-114,Y000064,1
hr1002-114,R000585,0
hr1003-114,B001282,1
hr1003-114,B001273,1
hr1003-114,C001102,1
hr1003-114,D000621,1
hr1003-114,G000576,1
hr1003-114,J000290,1
hr1003-114,M001189,1
hr1003-114,O000168,1
hr1003-114,P000602,1
hr1003-114,R000587,1
hr1003-114,R000582,1
hr1003-114,W000795,1
hr1003-114,R000592,0
hr1004-114,E000288,1
hr1004-114,J000288,1
hr1004-114,L000397,1
hr1004-114,R000053,1
hr1004-114,R000486,0
hr1005-114,B001292,1
hr1005-114,B000574,1
hr1005-114,C001097,1
hr1005-114,E000288,1
hr1005-114,E000215,1
hr1005-114,H001038,1
