bioguideID,billID,vote
A000370,hres129-114,Nay
A000371,hres129-114,Nay
A000373,hres129-114,Nay
B001270,hres129-114,Nay
B001281,hres129-114,Nay
B000287,hres129-114,Nay
B001287,hres129-114,Nay
B001292,hres129-114,Nay
B000490,hres129-114,Nay
B000574,hres129-114,Nay
B001278,hres129-114,Nay
B001227,hres129-114,Nay
B000911,hres129-114,Nay
B001285,hres129-114,Nay
B001286,hres129-114,Nay
B001251,hres129-114,Nay
C001036,hres129-114,Nay
C001037,hres129-114,Nay
C001097,hres129-114,Nay
C001083,hres129-114,Nay
C001072,hres129-114,Nay
C001090,hres129-114,Nay
C001066,hres129-114,Nay
C001091,hres129-114,Nay
C001080,hres129-114,Nay
C001084,hres129-114,Nay
C001101,hres129-114,Nay
C001067,hres129-114,Nay
C001049,hres129-114,Nay
C001061,hres129-114,Nay
C000537,hres129-114,Nay
C001068,hres129-114,Nay
C001078,hres129-114,Nay
C000714,hres129-114,Nay
C000754,hres129-114,Nay
C001059,hres129-114,Nay
C001069,hres129-114,Nay
C001038,hres129-114,Nay
C001063,hres129-114,Nay
C000984,hres129-114,Nay
D000598,hres129-114,Nay
D000096,hres129-114,Nay
D000191,hres129-114,Nay
D000197,hres129-114,Nay
D000620,hres129-114,Nay
D000216,hres129-114,Nay
D000617,hres129-114,Nay
D000623,hres129-114,Nay
D000610,hres129-114,Nay
D000624,hres129-114,Nay
D000399,hres129-114,Nay
D000482,hres129-114,Nay
D000622,hres129-114,Nay
E000290,hres129-114,Nay
E000288,hres129-114,Nay
E000179,hres129-114,Nay
E000215,hres129-114,Nay
E000293,hres129-114,Nay
F000030,hres129-114,Nay
F000043,hres129-114,Nay
F000454,hres129-114,Nay
F000462,hres129-114,Nay
F000455,hres129-114,Nay
G000571,hres129-114,Nay
G000574,hres129-114,Nay
G000575,hres129-114,Nay
G000556,hres129-114,Nay
G000553,hres129-114,Nay
G000410,hres129-114,Nay
G000551,hres129-114,Nay
G000535,hres129-114,Nay
H001063,hres129-114,Nay
H000324,hres129-114,Nay
H001064,hres129-114,Nay
H001038,hres129-114,Nay
H001047,hres129-114,Nay
H001034,hres129-114,Nay
H000874,hres129-114,Nay
H001068,hres129-114,Nay
I000057,hres129-114,Nay
J000032,hres129-114,Nay
J000294,hres129-114,Nay
J000288,hres129-114,Nay
J000126,hres129-114,Nay
K000009,hres129-114,Nay
K000375,hres129-114,Nay
K000385,hres129-114,Nay
K000379,hres129-114,Nay
